Fréquence (Hz)	Niveau (dB)
2,691650	-48,286541
5,383301	-50,300419
8,074951	-54,171227
10,766602	-59,113461
13,458252	-67,031921
16,149902	-59,173302
18,841553	-54,700138
21,533203	-52,946667
24,224854	-54,175358
26,916504	-57,762611
29,608154	-57,412800
32,299805	-53,693504
34,991455	-62,672386
37,683105	-51,184788
40,374756	-36,026360
43,066406	-31,680918
45,758057	-40,711769
48,449707	-51,956173
51,141357	-52,655338
53,833008	-51,269913
56,524658	-51,928211
59,216309	-52,515472
61,907959	-50,561996
64,599609	-44,504398
67,291260	-47,978245
69,982910	-61,645603
72,674561	-51,678909
75,366211	-51,378353
78,057861	-55,533573
80,749512	-53,745560
83,441162	-35,773102
86,132812	-33,765278
88,824463	-44,734936
91,516113	-52,975906
94,207764	-52,652336
96,899414	-55,361790
99,591064	-56,691586
102,282715	-56,651741
104,974365	-55,905510
107,666016	-52,415291
110,357666	-51,965141
113,049316	-61,937042
115,740967	-61,334213
118,432617	-57,183277
121,124268	-52,395000
123,815918	-55,945309
126,507568	-39,764801
129,199219	-38,354321
131,890869	-42,768665
134,582520	-49,389706
137,274170	-53,796165
139,965820	-57,012745
142,657471	-54,754566
145,349121	-48,501942
148,040771	-44,949238
150,732422	-44,591042
153,424072	-47,038544
156,115723	-47,187145
158,807373	-48,773571
161,499023	-50,198616
164,190674	-50,305012
166,882324	-46,646820
169,573975	-39,454632
172,265625	-41,560535
174,957275	-51,347641
177,648926	-54,394848
180,340576	-48,303127
183,032227	-49,324100
185,723877	-52,515800
188,415527	-52,593571
191,107178	-53,311966
193,798828	-51,201218
196,490479	-47,384830
199,182129	-46,795250
201,873779	-47,906540
204,565430	-49,693981
207,257080	-45,716427
209,948730	-44,609028
212,640381	-44,328026
215,332031	-47,049522
218,023682	-50,400311
220,715332	-48,920879
223,406982	-53,062611
226,098633	-51,202072
228,790283	-50,489025
231,481934	-46,251888
234,173584	-47,350273
236,865234	-51,619572
239,556885	-50,651814
242,248535	-48,866768
